NU_ANO,UF,Nome_Municipio,VL_ADICIONADO_BRUTO_AGROPECUARIA,VL_ADICIONADO_BRUTO_INDUSTRIA,VL_ADICIONADO_BRUTO_SERVICOS,VL_ADICIONADO_BRUTO_ADMINISTRACA,VL_ADICIONADO_BRUTO_TOTAL,VL_IMPOSTOS_LIQUIDOS_SUBSIDIOS,VL_PIB_PRECOS_CORRENTES,VL_PIB_PER_CAPTA_PRECOS_CORRENTE,NU_NOTA_CN_Mean,NU_NOTA_CN_StdDev,NU_NOTA_CN_Min,NU_NOTA_CN_Max,NU_NOTA_CN_N,NU_NOTA_CN_P10,NU_NOTA_CN_Q1,NU_NOTA_CN_Median,NU_NOTA_CN_Q3,NU_NOTA_CN_P90,NU_NOTA_CN_P95,NU_NOTA_CN_P99,NU_NOTA_CN_CV,NU_NOTA_CH_Mean,NU_NOTA_CH_StdDev,NU_NOTA_CH_Min,NU_NOTA_CH_Max,NU_NOTA_CH_N,NU_NOTA_CH_P10,NU_NOTA_CH_Q1,NU_NOTA_CH_Median,NU_NOTA_CH_Q3,NU_NOTA_CH_P90,NU_NOTA_CH_P95,NU_NOTA_CH_P99,NU_NOTA_CH_CV,NU_NOTA_LC_Mean,NU_NOTA_LC_StdDev,NU_NOTA_LC_Min,NU_NOTA_LC_Max,NU_NOTA_LC_N,NU_NOTA_LC_P10,NU_NOTA_LC_Q1,NU_NOTA_LC_Median,NU_NOTA_LC_Q3,NU_NOTA_LC_P90,NU_NOTA_LC_P95,NU_NOTA_LC_P99,NU_NOTA_LC_CV,NU_NOTA_MT_Mean,NU_NOTA_MT_StdDev,NU_NOTA_MT_Min,NU_NOTA_MT_Max,NU_NOTA_MT_N,NU_NOTA_MT_P10,NU_NOTA_MT_Q1,NU_NOTA_MT_Median,NU_NOTA_MT_Q3,NU_NOTA_MT_P90,NU_NOTA_MT_P95,NU_NOTA_MT_P99,NU_NOTA_MT_CV,NU_NOTA_REDACAO_Mean,NU_NOTA_REDACAO_StdDev,NU_NOTA_REDACAO_Min,NU_NOTA_REDACAO_Max,NU_NOTA_REDACAO_N,NU_NOTA_REDACAO_P10,NU_NOTA_REDACAO_Q1,NU_NOTA_REDACAO_Median,NU_NOTA_REDACAO_Q3,NU_NOTA_REDACAO_P90,NU_NOTA_REDACAO_P95,NU_NOTA_REDACAO_P99,NU_NOTA_REDACAO_CV,LATITUDE,LONGITUDE
2019,PB,São Bentinho,"3,311","4,290","11,184","26,326","45,110","3,754","48,864","10,789.22",443.11071429,59.611996484,342.7,649.6,84,372.1,402.15,434.85,473.65,521.8,535.7,649.6,13.453070432,467.49285714,63.351792294,332.4,662.6,84,398.1,423.6,454.65,509.95,546.7,583.9,662.6,13.551392567,487.09285714,52.813367206,372.7,632.3,84,417.1,455.4,491.6,516.3,555.4,569.1,632.3,10.842566552,491.97261905,90.643443335,362.7,742.7,84,393.3,426.15,468.45,549.5,597.2,675.5,742.7,18.424489458,565.71428571,125.05695776,260,960,84,400,500,560,620,720,780,960,22.106027887,-6.9,-37.72
2019,PB,São Domingos do Cariri,"1,634","1,210","4,508","15,791","23,143",696,"23,839","9,116.37",456.35689655,62.153308227,356.5,620,58,382.5,403.6,454.1,499.7,551.3,571.1,620,13.619451946,497.14137931,69.686125968,337.3,652,58,406.8,434.4,500.8,555.9,582,606.5,652,14.017365858,517.35344828,51.107314736,394.9,642.6,58,453.8,484.3,518.3,547.4,577.4,599.7,642.6,9.8786071507,499.33965517,96.568630153,368.1,706.3,58,396.9,412.9,471.25,567.3,661.1,690.5,706.3,19.339267201,585.51724138,121.38343501,300,820,58,420,500,580,680,760,800,820,20.730975354,-7.63,-36.43
2019,PB,São Domingos,"3,085","1,360","5,102","19,521","29,069",952,"30,021","9,769.31",443.8362069,51.851751221,355.9,581.4,58,375.7,408.6,439.1,470.9,516.3,545.5,581.4,11.68263211,462.80689655,68.893976163,325.2,643.4,58,375.7,420.6,458.65,509.4,562.3,594.3,643.4,14.886117013,497.40344828,48.650875708,376.1,616.9,58,435.5,472.4,499.6,526.9,551.9,578.5,616.9,9.7809687241,472.06896552,83.208531544,359.5,708.5,58,373.6,416.8,448.55,505.4,596.9,652.9,708.5,17.626350729,568.96551724,124.26188609,220,920,58,440,520,560,640,740,760,920,21.839967858,-6.81,-37.94
2019,PB,São Francisco,"2,440","1,538","8,917","20,310","33,205","1,908","35,113","10,351.83",451.31733333,66.372481625,338.7,679.3,75,375.6,400.2,444.3,497.8,536.5,568.3,679.3,14.70638877,490.01066667,57.334296074,380.6,642.4,75,416.9,439.9,487.6,530.1,561.1,579.9,642.4,11.700622042,489.60933333,53.396492883,367.8,628.6,75,410.4,454.9,496.7,523.7,553.4,562.8,628.6,10.90593852,484.31866667,93.760573016,370.4,845.4,75,390.5,425.6,453.8,526.3,608.4,681.4,845.4,19.35927303,594.4,143.98047916,260,980,75,400,520,580,680,780,860,980,24.222826238,-6.61,-38.09
2019,PB,São João do Cariri,"6,173","2,001","10,192","24,397","42,763","1,687","44,449","10,585.72",455.08454545,67.167382574,342.8,623.5,110,368.55,405,450.75,501.1,553.35,581.4,605.6,14.759319613,482.29181818,74.968730034,331.5,652.7,110,390.8,431.5,478.8,539.8,581.8,606,637,15.544267435,499.16272727,54.834359179,372.6,645.6,110,426.65,463.2,503.95,539.1,565.95,587.5,631.4,10.985267165,491.80454545,82.925630865,361.9,698.4,110,391.4,427.3,472.5,552.5,612.8,632.5,671.1,16.861501511,596.18181818,140.15706666,260,960,110,400,500,600,680,770,840,940,23.509114567,-7.39,-36.53
2019,PB,São João do Tigre,"2,759",989,"6,187","24,508","34,442",938,"35,381","8,001.03",431.52894737,61.282186944,342.3,581.2,38,346.7,388.2,417.6,484.7,519.5,532,581.2,14.20117638,468.58684211,57.557365843,343.6,579.7,38,392.7,432.8,463.5,516.6,541.9,576.2,579.7,12.283180122,477.07105263,66.562423081,359.6,634.9,38,388.2,416.1,491.55,530.5,547.3,558.3,634.9,13.952308092,462.20263158,72.181376227,367.9,612.7,38,371.2,407.3,449.25,504.3,586,607.5,612.7,15.616825023,557.36842105,95.992235343,320,760,38,420,500,560,640,660,720,760,17.222402942,-8.07,-36.84
2019,PB,São José da Lagoa Tapada,"4,588","3,750","13,612","37,672","59,622","2,794","62,416","8,180.31",443.45714286,61.057840834,340.6,646,119,375.8,402.8,435.5,472.7,529.4,590,625.3,13.76860015,457.38655462,66.172258415,324.2,702.3,119,367.4,409.4,453.4,496.3,533.5,580.8,622.7,14.467469091,480.51596639,53.9044965,348.8,624.1,119,401.9,446.6,483,522.7,542.5,557.5,612.8,11.218044825,469.46134454,79.223233312,359.5,821.4,119,387.4,420.2,450.4,502.4,572.6,622.6,722.8,16.875347509,573.1092437,134.50315288,220,980,119,400,500,560,640,720,800,980,23.469025209,-6.94,-38.16
2019,PB,São José de Caiana,"3,444","1,807","8,670","32,696","46,616","1,295","47,912","7,534.46",435.31162791,67.592504664,342.2,649.5,86,365.3,383,424.2,470.1,522,582.4,649.5,15.527383219,461.47906977,70.968316238,345.4,677.7,86,387.5,409.9,445.4,510.1,541.1,607.4,677.7,15.37844745,474.79651163,57.472244857,350.7,642.6,86,400.3,430,472.9,515.6,544.3,553.2,642.6,12.104605541,479.17325581,91.093113867,368.5,849.8,86,394,416,456.9,512.9,604.2,668,849.8,19.010475389,581.62790698,133.76766922,300,940,86,420,500,560,660,760,840,940,22.998839571,-7.24,-38.3
2019,PB,São José de Espinharas,"9,076","1,807","7,002","26,154","44,039","1,101","45,139","9,641.04",455.81707317,62.411499425,341.8,583.8,82,381.4,412.9,451.25,487.1,552.2,578.5,583.8,13.692225039,478.46341463,80.936750968,319.7,639,82,373,415.2,472.8,544.3,590.8,609,639,16.915974867,498.72926829,58.575888285,336.1,608.3,82,424.2,458.8,505.9,536.5,578,583.2,608.3,11.745027214,491.23536585,88.626206826,359.8,693.6,82,379,419.1,469.45,567.8,611.1,644.5,693.6,18.041495582,567.07317073,155.59910347,240,920,82,360,460,560,660,820,840,920,27.438981687,-6.84,-37.32
2019,PB,São José dos Ramos,"3,122","1,874","8,885","33,411","47,292","1,220","48,512","8,143.73",456.59680851,51.203306454,357.6,604.3,94,394.1,420.3,458.55,493.4,520,538.3,604.3,11.214118342,470.78829787,67.729479067,326.2,641.9,94,382.6,420.6,469.35,513.4,566,581.5,641.9,14.386398169,488.00425532,53.069337714,330.4,588.9,94,403.1,459.4,494.9,530.1,547.3,573.8,588.9,10.874769458,470.37340426,77.8170161,363.7,727.7,94,375.3,403.4,458.5,508.1,573.5,610,727.7,16.54366837,563.40425532,133.68678843,160,920,94,340,520,580,620,700,780,920,23.728395228,-7.25,-35.38
